Transaction Hash,BlockNo,DateTime (UTC),Action,Price,Market,Buyer Address,Buyer Name,Type,Item,Quantity
"0x95494428f3ae64c6752e34673b61d72080cea04566ac54c3564a73d946b77ecb","22375941","2025-04-29 16:34:35","Bought","1.47WETH ($2,643.75)","Seaport","0x2487E611fF876C101DD2B31758102953F4760Af5","","ERC-721","LilPudgys","1"
"0x1cdf6a34d0b6ec8d980d6e5ee69b0d77c66d239595c403376db7d446c82314c1","22375575","2025-04-29 15:20:59","Bought","1.49WETH ($2,679.72)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0x1cdf6a34d0b6ec8d980d6e5ee69b0d77c66d239595c403376db7d446c82314c1","22375575","2025-04-29 15:20:59","Bought","1.49WETH ($2,679.72)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0x1cdf6a34d0b6ec8d980d6e5ee69b0d77c66d239595c403376db7d446c82314c1","22375575","2025-04-29 15:20:59","Bought","1.49WETH ($2,679.72)","Seaport","0x36a8169ECd533FDE80EE458937dbb954A877E08e","","ERC-721","LilPudgys","1"
"0x1cdf6a34d0b6ec8d980d6e5ee69b0d77c66d239595c403376db7d446c82314c1","22375575","2025-04-29 15:20:59","Bought","1.49WETH ($2,679.72)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0x6630962699ecfcf0ec3661f8b20b17bec6c0d82cde53c21c2fb5ba1f06fa1645","22375564","2025-04-29 15:18:47","Bought","1.5WETH ($2,697.71)","Seaport","0x086AB6A71C4b373Cd66188839d9dC6CcDFE9d379","","ERC-721","LilPudgys","1"
"0xa914c4fc2eb1531223be0ae4c3f523eddba1766b7b08a06cc759b2eeae00c726","22375470","2025-04-29 14:59:59","Bought","1.58ETH ($2,841.58)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x9f533b82334d307a30636bebd565113f727f48e550dbcaf870460867eeecbd60","22375330","2025-04-29 14:31:47","Bought","1.49WETH ($2,679.72)","Seaport","0xb42f5A41B62b52616598cfD1A0D3A01846Bfa888","zhouchangjun.eth","ERC-721","LilPudgys","1"
"0x983613b1a5cdbdac5320a7b4a64c967257077fbc0d75960fedbbeb6d5fa93d8d","22375129","2025-04-29 13:51:23","Bought","1.51WETH ($2,715.69)","Seaport","0x54A01180E25DB278A2504d393aaBa150d85E9F00","dropchik.eth","ERC-721","LilPudgys","1"
"0x8eb39b2439460ec616455f2947b6c4b720f7d3ae15579a8423b92fac00176c49","22374934","2025-04-29 13:12:23","Bought","1.5WETH ($2,697.71)","Seaport","0xD17a89B10321AEffF3D387a85c59B35890c23558","","ERC-721","LilPudgys","1"
"0x05474771c349a4b62b7592e719d22b676983cb7afa3afde57847a4ae7a4deb00","22374057","2025-04-29 10:15:59","Bought","1.5WETH ($2,697.71)","Seaport","0x297EF0dd0BD5431Bbe0E664231Ee6b6DC7325e95","","ERC-721","LilPudgys","1"
"0xdb4b00742e3dbf69fbb2d08a61cec9b32066002989b1a47894d8281cdf4bf3b9","22374014","2025-04-29 10:07:11","Bought","1.57ETH ($2,823.60)","Blur","0x69a5b37A84012eF79F2B3a5F85809220987E002a","","ERC-721","LilPudgys","1"
"0xc66481dcbc234d757d2e405ce9592a4cb44c3d2c707d5d6a70f524b092a1eaba","22373295","2025-04-29 07:42:23","Bought","1.61ETH ($2,895.54)","Seaport","0xC1fE6e93f8e6d042fDFade4d4E00d6b60630ceA1","","ERC-721","LilPudgys","1"
"0xb9e2747083cedbdf905a8bb4ffb39655a9dd39fd5219891b7584ac4941e16332","22372052","2025-04-29 03:32:23","Bought","1.48WETH ($2,661.74)","Seaport","0xd83CeEB78c3b94EDa193A34C1298847AFC5B89BA","","ERC-721","LilPudgys","1"
